category,skill,task_count
devops,ci/cd,6
devops,docker,7
devops,git,6
devops,jenkins,7
devops,kubernetes,8
devops,monitoring,6
devops,prometheus,1
devops,puppet,6
devops,terraform,7
documentation,api documentation,6
documentation,asciidoc,7
documentation,confluence,7
documentation,markdown,7
documentation,readthedocs,7
documentation,sphinx,6
documentation,technical writing,7
documentation,user manuals,6
frontend,UI,6
frontend,UX,6
frontend,angular,7
frontend,aria,1
frontend,bootstrap,6
frontend,css,7
frontend,ember.js,6
frontend,foundation,6
frontend,gsap,1
frontend,html,7
frontend,javascript,6
frontend,jquery,6
frontend,materialize,6
frontend,react,7
frontend,redux,6
frontend,sass,7
frontend,typescript,7
frontend,user-friendly,6
frontend,vue,7
frontend,webpack,1
project management,JIRA,1
project management,MS Project,1
project management,RiskMatrix,1
project management,Slack,1
project management,Trello,1
project management,agile,6
project management,collaboration tools,6
project management,git,1
project management,jira,7
project management,kanban,6
project management,microsoft project,7
project management,scrum,7
project management,trello,7
project management,version control,6
testing,JMeter,1
testing,JUnit,1
testing,Jenkins,1
testing,OWASP,1
testing,Selenium,1
testing,chai,6
testing,cypress,7
testing,jest,7
testing,junit,7
testing,mocha,6
testing,pytest,7
testing,selenium,7
testing,testing library,6
ui/ux design,Adobe XD,1
ui/ux design,Figma,1
ui/ux design,Sketch,1
ui/ux design,UserTesting,1
ui/ux design,WCAG,1
